dataset_id,relationships
D2025041800161503000024863833,"indexData 与 indexInfo 是多对一的关系，indexData 的关联字段为[Index], indexInfo 的关联字段为 [Index] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025042100161503000024886679,"tourism 与 cost_of_living 是一对一的关系，tourism 的关联字段为[country], cost_of_living 的关联字段为 [country] | tourism 与 richest_countries 是一对一的关系，tourism 的关联字段为[country], richest_countries 的关联字段为 [country] | richest_countries 与 unemployment 是一对一的关系，richest_countries 的关联字段为[country], unemployment 的关联字段为 [country] | unemployment 与 corruption 是一对一的关系，unemployment 的关联字段为[country], corruption 的关联字段为 [country] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025042100161503000024885062,"customers 与 orders 是多对多的关系，customers 的关联字段为[customer_id], orders 的关联字段为 [customer_id] | orders 与 staffs 是多对一的关系，orders 的关联字段为[staff_id], staffs 的关联字段为 [staff_id] | staffs 与 stores 是多对一的关系，staffs 的关联字段为[store_id], stores 的关联字段为 [store_id] | order_items 与 orders 是多对一的关系，order_items 的关联字段为[order_id], orders 的关联字段为 [order_id] | order_items 与 products 是多对一的关系，order_items 的关联字段为[product_id], products 的关联字段为 [product_id] | stocks 与 stores 是多对一的关系，stocks 的关联字段为[store_id], stores 的关联字段为 [store_id] | products 与 brands 是多对一的关系，products 的关联字段为[brand_id], brands 的关联字段为 [brand_id] | products 与 categories 是多对一的关系，products 的关联字段为[category_id], categories 的关联字段为 [category_id] | stocks 与 products 是多对一的关系，stocks 的关联字段为[product_id], products 的关联字段为 [product_id] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025042100161503000024904771,"investments 与 objects 是多对一的关系，investments 的关联字段为[funded_object_id], objects 的关联字段为 [id] | funding_rounds 与 objects 是多对一的关系，funding_rounds 的关联字段为[object_id], objects 的关联字段为 [id] | offices 与 objects 是多对一的关系，offices 的关联字段为[object_id], objects 的关联字段为 [id] | milestones 与 objects 是多对一的关系，milestones 的关联字段为[object_id], objects 的关联字段为 [id] | acquisitions 与 objects 是多对一的关系，acquisitions 的关联字段为[acquired_object_id], objects 的关联字段为 [id] | relationships 与 people 是多对一的关系，relationships 的关联字段为[person_object_id], people 的关联字段为 [object_id] | relationships 与 objects 是多对一的关系，relationships 的关联字段为[relationship_object_id], objects 的关联字段为 [id] | investments 与 funds 是多对一的关系，investments 的关联字段为[investor_object_id], funds 的关联字段为 [object_id] | degrees 与 people 是多对一的关系，degrees 的关联字段为[object_id], people 的关联字段为 [object_id] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025050900161503000025246231,"appearances 与 games 是多对一的关系，appearances 的关联字段为[gameID], games 的关联字段为 [gameID] | appearances 与 players 是多对一的关系，appearances 的关联字段为[playerID], players 的关联字段为 [playerID] | appearances 与 leagues 是多对一的关系，appearances 的关联字段为[leagueID], leagues 的关联字段为 [leagueID] | teamstats 与 teams 是多对一的关系，teamstats 的关联字段为[teamID], teams 的关联字段为 [teamID] | shots 与 games 是多对一的关系，shots 的关联字段为[gameID], games 的关联字段为 [gameID] | games 与 teams 是多对一的关系，games 的关联字段为[awayTeamID], teams 的关联字段为 [teamID] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025042100161503000024906318,"Marks 与 Teachers 是多对一的关系，Marks 的关联字段为[TeacherID], Teachers 的关联字段为 [TeacherID] | Marks 与 Students 是多对一的关系，Marks 的关联字段为[StudentID], Students 的关联字段为 [StudentID] | Marks 与 Subjects 是多对一的关系，Marks 的关联字段为[SubjectID], Subjects 的关联字段为 [SubjectID] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025042100161503000024906166,"order_items 与 orders 是多对一的关系，order_items 的关联字段为[order_id], orders 的关联字段为 [order_id] | order_items 与 products 是多对一的关系，order_items 的关联字段为[product_id], products 的关联字段为 [product_id] | products 与 suppliers 是多对一的关系，products 的关联字段为[supplier_id], suppliers 的关联字段为 [supplier_id] | orders 与 customers 是多对一的关系，orders 的关联字段为[customer_id], customers 的关联字段为 [customer_id] | payment 与 orders 是一对一的关系，payment 的关联字段为[order_id], orders 的关联字段为 [order_id] | shipments 与 orders 是一对一的关系，shipments 的关联字段为[order_id], orders 的关联字段为 [order_id] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025042100161503000024891020,"sales 与 price 是多对一的关系，sales 的关联字段为[product_name], price 的关联字段为 [Name] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025042100161503000024889322,"features 与 stores 是多对一的关系，features 的关联字段为[Store], stores 的关联字段为 [Store] | sales 与 stores 是多对一的关系，sales 的关联字段为[Store], stores 的关联字段为 [Store] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
D2025042100161503000024889321,"sales 与 store_cities 是多对一的关系，sales 的关联字段为[store_id], store_cities 的关联字段为 [store_id] | sales 与 product_hierarchy 是多对一的关系，sales 的关联字段为[product_id], product_hierarchy 的关联字段为 [product_id] | 逻辑表1的信息 | 逻辑表名称：官方样例_订单 | 对应物理表名称：ant_icube.deepinsight_demo_dataset_adame | 字段信息:"
